task,norm_gtr,norm_gval,align,IP,Ltr0,LtrK,Lval0,LvalK,I_tr,I_val,G,drift,seed,L,n
0,0.13723599279555887,0.3469266287122246,-0.9183318048602344,-0.043722530553999675,0.19233821606923845,0.0910479967607202,-0.4593447411511314,-0.2230025593121679,0.10129021930851825,-0.2363421818389635,-0.3140505560728881,0.7009710971007185,0,3,6
1,0.17565554536561187,0.14842528854270326,0.05483939938350832,0.0014297577401671193,0.07951513688648557,-0.029930623710126843,0.12160537094618916,0.12712718249665686,0.1094457605966124,-0.005521811550467701,0.1570578062067837,0.7204978986606573,0,3,6
2,0.1415353072643495,0.1779599568868977,0.8617273579409653,0.0217048588042619,-0.39414758012488726,-0.43912240030558186,-0.05045820937513752,-0.12871065762312453,0.0449748201806946,0.07825244824798701,0.3104117426824573,0.4612561797611097,0,3,6
3,0.31922113322924217,0.054580299039316806,0.16902818937799252,0.002945009398758654,-0.03774102211351472,-0.4700797039379816,0.06066431622226379,0.03480602277633221,0.4323386818244669,0.025858293445931574,0.5048857267143139,1.3952508940157031,0,3,6
4,0.07914161545511567,0.6595265593492557,0.4091956921618606,0.02135837726062423,0.11803901870094687,0.06858326358768477,0.2617296878135123,0.1433586099864127,0.0494557551132621,0.1183710778270996,0.07477534639872793,0.48318498842317653,0,3,6
5,0.18142508999970083,0.43388403371063455,0.5980995496337247,0.047080871312802135,0.14584459959962723,-0.07290892307071146,0.18255950789044756,-0.01518608389586628,0.2187535226703387,0.19774559178631385,0.057722839174845185,1.0052604569907053,0,3,6
6,0.16933275032083564,0.37885399988498697,0.6735792248640529,0.04321171697484009,0.10068889340879839,-0.26624458034316767,-0.15084471407220496,-0.14151816688582905,0.36693347375196605,-0.009326547186375905,0.12472641345733862,1.2775498499115674,0,3,6
7,0.26564818284223074,0.16002584496072267,-0.4907819459743505,-0.02086342268451545,0.4022226867350154,0.0657028738212914,0.14528908647835845,0.09715662940895692,0.33651981291372396,0.04813245706940153,0.03145375558766551,1.255147277869534,0,3,6
8,0.27301318900659577,0.21592962357545237,0.47562276308916335,0.028038739590737688,-0.298244353098959,-0.4313246342160726,-0.5959383662684623,-0.671897980743085,0.13308028111711356,0.07595961447462274,-0.24057334652701245,0.7552332632126688,0,3,6
9,0.2376061830005219,0.408459916817471,-0.2033707834468419,-0.01973766365217263,0.039484266118695294,-0.20147540455777022,0.043254790374214314,0.14410678548718292,0.2409596706764655,-0.1008519951129686,0.34558219004495316,1.069428586500543,0,3,6
10,0.19674005434410816,0.3445025992746507,-0.11852314610342402,-0.008033197806304645,-0.29386584357671536,-0.42991226104046,0.3692784405142965,0.29704206782355025,0.13604641746374463,0.07223637269074623,0.7269543288640102,0.8057043590101141,0,3,6
11,0.17387163945630146,0.7200145719471184,0.044009066212986524,0.005509500018740242,-0.04053134044940168,-0.15282305249248215,-0.15934325401585941,-0.20682006448309692,0.11229171204308047,0.04747681046723751,-0.05399701199061477,0.7206803849577156,0,3,6
12,0.12140086377593279,0.18974029251654764,0.8953001940013936,0.020622913546496053,0.008326280346021304,-0.053538211724997425,-0.07532467580586445,-0.15742316799545747,0.061864492071018726,0.08209849218959302,-0.10388495627046004,0.5472722723110468,0,3,6
13,0.16226089480095637,0.2949930425803993,0.389732557624423,0.018654874316534842,-0.2570926596846104,-0.3322926742576938,-0.26671376310554956,-0.3168583048526113,0.0752000145730834,0.05014454174706173,0.015434369405082526,0.6018461788508808,0,3,6
14,0.17486504058170535,0.33605107992549993,-0.5971689495508052,-0.035091788761445544,-0.07584642055472834,-0.3360241548466257,0.04901995609766065,0.2690962991338142,0.26017773429189733,-0.2200763430361536,0.6051204539804399,1.1122978160509223,0,3,6
15,0.1603698039158106,0.2369587377098714,-0.8831345567974827,-0.03356001952165801,-0.017229487892145876,-0.1007352568511058,-0.2523206916906572,-0.11286736865440532,0.08350576895895993,-0.13945332303625185,-0.012132111803299511,0.6362173573896227,0,3,6
16,0.18710538763394524,0.22056195324054428,-0.364621031754174,-0.015047300975269132,0.09663176736004112,-0.07160464982453217,0.04285832441939774,0.03839018723571308,0.16823641718457327,0.004468137183684662,0.10999483706024525,0.9157771553001981,0,3,6
17,0.20324047330320755,0.4148929199381185,0.8807431727832014,0.07426693599160175,0.08492721282308469,-0.2374673150556258,-0.21902328382685576,-0.6247296022885575,0.3223945278787105,0.4057063184617017,-0.38726228723293166,1.2428859192736625,0,3,6
18,0.10646164776999484,0.2102749043509589,-0.6818107112507357,-0.015263159672660908,0.07096631653680045,-0.021575653261815767,0.10550997199444559,0.1766521856672272,0.09254196979861622,-0.07114221367278162,0.19822783892904297,0.6582512162428825,0,3,6
19,0.1817329799830265,0.06857019691659719,0.1155408038087334,0.001439807824118923,0.10887393550377744,-0.06995270398851865,-0.29234879400901265,-0.2881650706689639,0.1788266394922961,-0.0041837233400487395,-0.21821236668044525,0.933990921994028,0,3,6
20,0.24593955041598795,0.2079647028330286,-0.009226967618889722,-0.00047192936469833224,0.05563229063037356,-0.3608540593969469,0.06438302021150032,0.2216159747072955,0.4164863500273205,-0.15723295449579516,0.5824700341042424,1.3963859757731099,0,3,6
21,0.20733419666791608,0.29191112595827257,0.3077927051939332,0.01862858677362169,-0.3938711010233207,-0.483351652780796,0.21296402457091307,0.13707002774782936,0.08948055175747532,0.0758939968230837,0.6204216805286253,0.6355059233988697,0,3,6
22,0.07381682371824586,0.1212661946417018,-0.35787653715557466,-0.003203526566161383,-0.09609400012022948,-0.13280890792716343,0.10174006208579486,0.09662405046274086,0.036714907806933955,0.005116011623054001,0.2294329583899043,0.4126538214690151,0,3,6
23,0.18022031544146433,0.07351284738555347,0.012811743893280625,0.00016973649844423367,0.14910500928893602,-0.020250209118992696,-0.16701411411775074,-0.14737479686566085,0.16935521840792872,-0.019639317252089894,-0.12712458774666816,0.9069602111893951,0,3,6
24,0.15493644175780086,0.332271296767777,-0.8719129518916056,-0.0448868917519746,-0.02895997611621247,-0.17514895020611282,0.022726269269627675,0.16015730884764146,0.14618897408990034,-0.13743103957801378,0.3353062590537543,0.8343206140627137,0,3,6
25,0.2612161744979153,0.24651191720296098,0.3981873244951745,0.02564043655948347,-0.007958418393207193,-0.25821661717324423,-0.30922718592047493,-0.3216712851200785,0.250258198780037,0.012444099199603542,-0.06345466794683424,1.0971204045515177,0,3,6
26,0.16559797848967855,0.2327822849451724,-0.23566640020710042,-0.009084533395541853,-0.08339389887083358,-0.2440873751254895,0.0013690695702275255,-0.014555448641181426,0.1606934762546559,0.01592451821140895,0.2295319264843081,0.87357412946622,0,3,6
27,0.2112189347383748,0.3971726130381129,0.4949789943182036,0.04152397406086871,-0.3496457416110906,-0.43287113336605265,0.028311702107545758,-0.06031948116500233,0.08322539175496207,0.0886311832725481,0.3725516522010503,0.613223757342801,0,3,6
28,0.16340282720624852,0.29126472430121686,0.7716338479660819,0.036724739660068895,-0.12844331087749444,-0.26112973468065215,-0.2520866966728298,-0.29985648682503,0.1326864238031577,0.04776979015220023,-0.038726752144377874,0.799199807694003,0,3,6
29,0.32628920163939235,0.20639057787447676,0.1606043546417873,0.01081558176573266,0.0008804080155842553,-0.28862233861562026,0.29652338001639433,0.12780549566168076,0.2895027466312045,0.16871788435471358,0.416427834277301,1.1459066088980432,0,3,6
30,0.14012702106449532,0.2670579249017794,0.405019732120089,0.015156661160620484,0.08191755934002923,-0.14797119658265304,-0.3565934488539454,-0.3792093627822303,0.22988875592268226,0.02261591392828488,-0.23123816619957724,1.0124275061812869,0,3,6
31,0.13857003956971456,0.3519863953612897,-0.6410149089213822,-0.03126535393718336,-0.017950905852080493,-0.10635442474442057,0.37750415115641245,0.4819766777008107,0.08840351889234008,-0.10447252654439826,0.5883311024452312,0.6521042654361237,0,3,6
32,0.29925934645041047,0.18533106972690472,0.03310245456442968,0.001835930149180416,0.07778253358834408,-0.24178339872711713,0.09625930929669689,0.2954851749464351,0.3195659323154612,-0.1992258656497382,0.5372685736735523,1.2090365222953898,0,3,6
33,0.2651565656011002,0.4100711866423634,-0.3341419261055786,-0.03633227660650516,-0.07645274625513526,-0.3051606143415176,-0.07836664895324091,0.0535184024879984,0.22870786808638233,-0.1318850514412393,0.358679016829516,1.0281258195524796,0,3,6
34,0.31201477258110033,0.4106477585424996,-0.1671539324563999,-0.021417126971239472,0.2536132023471602,-0.1933331137053837,0.011299002426920148,0.016208855888492357,0.4469463160525439,-0.00490985346157221,0.20954196959387605,1.4622059129119487,0,3,6
35,0.16527853608293125,0.5006785907072633,-0.2949446030670852,-0.024407086058334918,0.09579949132813952,-0.045662428251217746,0.0623771746628822,0.13824748534240283,0.14146191957935728,-0.07587031067952063,0.18390991359362058,0.8267900872810382,0,3,6
36,0.3337293050168582,0.057676668364772594,-0.21448000130056522,-0.0041283956664689035,0.15027452464579472,-0.24401172025295995,-0.19856310178493766,-0.12783861138514901,0.39428624489875463,-0.07072449039978865,0.11617310886781093,1.3382788403877721,0,3,6
37,0.19368995141923728,0.31254040587791426,-0.8750940072943191,-0.05297463484671703,-0.11011074805719198,-0.24260704228546,-0.03829103991352756,0.15902591081372464,0.13249629422826803,-0.1973169507272522,0.4016329530991847,0.7953028617653446,0,3,6
38,0.12222674143681225,0.2440255453982046,0.7823386321481908,0.023334381936648455,-0.09784405930658573,-0.14212926324670583,0.18928474142748783,0.11498443830265449,0.0442852039401201,0.07430030312483334,0.2571137015493603,0.46657595497916676,0,3,6
39,0.24862171468335628,0.4468822584877906,0.2855568116127095,0.031726684859623995,0.11644852483549939,-0.18838730317355984,-0.019706848912154018,-0.17813973327819535,0.30483582800905923,0.15843288436604133,0.010247569895364489,1.2253132179610826,0,3,6
40,0.2166741928028388,0.19154860088802014,-0.03993702964840777,-0.0016575320404895583,0.006848488262067542,-0.12687420076779463,0.5504534578048763,0.5072731865577325,0.13372268902986217,0.04318027124714385,0.6341473873255271,0.7840348834330219,0,3,6
41,0.16254708235852378,0.40184361563186394,-0.48776082599793896,-0.03185980906645937,0.15131396637098712,0.05397318974554616,-0.007873076519131446,0.11597652221661182,0.09734077662544097,-0.12384959873574328,0.06200333247106567,0.6744380354167946,0,3,6
42,0.12067747036499685,0.19495415757331083,0.8589503861624119,0.020208160314631123,0.089203266887891,-0.06643746781514609,0.2862942288228135,0.16846581254165385,0.15564073470303708,0.11782841628115967,0.23490328035679994,0.8555920112249629,0,3,6
43,0.2262977398572548,0.2630972783990563,0.5784894408427563,0.0344422891356211,0.28451723664055656,0.021401663949270514,0.32306330663077165,0.05982635417435621,0.26311557269128605,0.26323695245641543,0.0384246902250857,1.1271669176890977,0,3,6
44,0.14945429855483916,0.3980154452242864,0.4189395551431236,0.024920669366899746,0.17341597091381505,-0.029309111311796324,-0.06993849393572535,-0.2827879635087809,0.20272508222561136,0.21284946957305553,-0.25347885219698457,0.9700781291038744,0,3,6
45,0.21432808668463812,0.32787467377152485,-0.1829349345181464,-0.012855341194391908,0.10755107232831888,-0.15488945498730353,0.12284266764960433,0.18543382686957455,0.2624405273156224,-0.06259115921997022,0.3403232818568781,1.112887541021503,0,3,6
46,0.1769685176477912,0.2432238605127376,-0.19053128048152485,-0.008201031437517443,0.37875606622310143,0.10243315881591611,-0.15983696476088785,-0.11346711225475739,0.27632290740718535,-0.04636985250613046,-0.2159002710706735,1.1248079190234304,0,3,6
47,0.25842813536719855,0.09871644702761873,-0.0902161552370924,-0.002301514019642588,0.09215098609594233,-0.30187195035533076,0.40730773480310145,0.3917066239049925,0.39402293645127306,0.01560111089810895,0.6935785742603233,1.3611235482991109,0,3,6
48,0.27867834941911684,0.13788983891577605,0.16216653894918576,0.006231559436799348,0.17957780986184654,-0.15160918021337397,0.05467139608937176,0.05557059061716502,0.3311869900752205,-0.0008991945277932595,0.20717977083053898,1.2521124756320594,0,3,6
49,0.17270764499568075,0.34257271542167833,0.7623764908949449,0.04510594936951879,-0.10470584970877388,-0.19861755746083185,0.2086049597592531,0.07276303072355952,0.09391170775205797,0.1358419290356936,0.27138058818439137,0.661696244895711,0,3,6
0,0.16285846551145616,0.25111340768124896,-0.6642707025437534,-0.027165977614365223,-0.16349133888126843,-0.33890813849823076,0.29866675945863813,0.3090876623185011,0.17541679961696233,-0.010420902859862968,0.6479958008167319,0.9079667844933227,1,3,6
1,0.12535996229127788,0.2756578975361882,0.8072898579585907,0.02789708262383353,0.19901179215217446,-0.008176992490931397,0.02606646548429506,-0.07540805253459229,0.20718878464310586,0.10147451801888735,-0.06723106004366089,0.9634143997651372,1,3,6
2,0.2640377872618664,0.2049202164172352,0.15921473655170337,0.008614580882773112,-0.046349147978398716,-0.29114689949692035,-0.4651323590658185,-0.3542276339159887,0.24479775151852162,-0.1109047251498298,-0.06308073441906836,1.0804882738400776,1,3,6
3,0.20550016091394763,0.19567392930591793,0.5017961552633353,0.02017773722184339,-0.1774136738823522,-0.3448777383542102,0.23715732608530157,0.07559230030684386,0.167464064471858,0.16156502577845772,0.42047003866105404,0.908146936683274,1,3,6
4,0.3060444799126454,0.18096100672474116,0.32149532510457374,0.01780509177018846,0.1733482347316236,-0.10247734294216784,0.10888884355512328,-0.14871542245787697,0.27582557767379146,0.25760426601300024,-0.04623807951570913,1.129662162568814,1,3,6
5,0.12286493854464024,0.25926956052337197,0.7051967616837259,0.02246414059795122,-0.10183518724712434,-0.19569949713002,0.31621595931199503,0.1838273312411025,0.09386430988289565,0.13238862807089252,0.3795268283711225,0.664624751982434,1,3,6
6,0.16736075311180468,0.4290799809049646,-0.8861387128378335,-0.06363463892024705,-0.021388402805131827,-0.2079055178831786,-0.08475975915173453,0.18158726717819465,0.18651711507804677,-0.2663470263299292,0.38949278506137325,0.9467212730804,1,3,6
7,0.31043036229424875,0.14191898480585588,0.5790561434553281,0.025510875376491472,-0.2857869868122555,-0.5589807094989356,0.019431158082915304,0.16057104914670706,0.27319372268668013,-0.14113989106379177,0.7195517586456427,1.1075414707113853,1,3,6
8,0.122555835866872,0.41750542975515514,0.3370273791174193,0.017244924900119914,0.03547639886783469,-0.18722171978114588,-0.21782630375498033,-0.27016234970573305,0.22269811864898056,0.052336045950752724,-0.08294062992458717,0.9971223611357424,1,3,6
9,0.2441862331546384,0.2653490873996643,0.4384628585067578,0.0284100229550193,0.22653236046138644,-0.03952474660625211,-0.09659897719744676,-0.1284941500366751,0.2660571070676386,0.03189517283922835,-0.088969403430423,1.1241917562899695,1,3,6
10,0.1601605435809724,0.21781992585223206,-0.7054795315970166,-0.024611470212647438,0.11476719074243942,-0.11629218253922469,0.31830939446166223,0.40726980062359774,0.2310593732816641,-0.08896040616193551,0.5235619831628224,1.019457689537613,1,3,6
11,0.1850972627716905,0.26993523985601814,0.15927650344659186,0.007958134863625833,0.0014202124750400062,-0.22227690838787256,0.159576366669614,-0.059125786495518584,0.22369712086291257,0.21870215316513258,0.16315112189235398,1.0394268944496243,1,3,6
12,0.14295325207824766,0.34198341434724355,-0.9263746187749421,-0.04528827001443729,-0.09807257793073298,-0.3082628077623161,-0.26419856478951964,0.03388379842401799,0.21019022983158314,-0.29808236321353765,0.34214660618633413,0.9886571927052279,1,3,6
13,0.3101592286109654,0.2557261391648123,0.473133932246337,0.03752700678013421,0.0028752738037390625,-0.3447031656552718,0.13676113738905932,-0.07207221108315183,0.3475784394590109,0.20883334847221113,0.27263095457212,1.277240820187773,1,3,6
14,0.16010011227062992,0.24670229974083244,0.9010504060204569,0.03558884725313385,-0.06036933405821471,-0.1303869294388769,-0.10124881018912882,-0.21669955766891416,0.07001759538066218,0.11545074747978534,-0.08631262823003727,0.5760282641074038,1,3,6
15,0.23041398013686842,0.28144057700381325,0.4487661653743531,0.02910151806902659,0.47885235066923715,0.15115148910567133,-0.23407653417817692,-0.16692081736088238,0.3277008615635658,-0.06715571681729454,-0.3180723064665537,1.2611125065385775,1,3,6
16,0.08828546524005847,0.5571131876586395,0.47699122837405983,0.023460812119344514,0.024399061596142167,-0.008568853698828767,0.15104577695685917,0.03346028699479847,0.03296791529497094,0.1175854899620607,0.04202914069362724,0.4000204453009078,1,3,6
17,0.17055173468839488,0.48127006720571675,-0.9325522941675181,-0.07654523967131205,-0.006741900422227396,-0.10746617844181477,0.21738240805560682,0.4205921979759053,0.10072427801958737,-0.20320978992029848,0.52805837641772,0.681604324364216,1,3,6
18,0.14364176465821696,0.13637171622024538,-0.7397813339535776,-0.014491335357944673,0.011716866511945643,-0.08350203513407767,-0.0159992401609299,0.024562335844575775,0.09521890164602331,-0.040561576005505674,0.10806437097865344,0.6774034821925937,1,3,6
19,0.08918309085788864,0.24187107821034795,0.7007159952976479,0.015115011839522975,0.25216280015964415,0.16071028920168956,-0.03887781499902637,-0.11028990203748773,0.09145251095795459,0.07141208703846136,-0.2710001912391773,0.6418172851179366,1,3,6
20,0.07037160081367301,0.11084360177840798,0.634403952018896,0.004948504159342733,-0.26250115464614354,-0.2732229317422367,-0.5287757650820042,-0.5362048029222417,0.010721777096093177,0.007429037840237518,-0.262981871180005,0.22607670712938746,1,3,6
21,0.18552795529847962,0.12450388514325952,-0.11153558203579668,-0.002576354970673838,0.13320185608862897,-0.10919480235377203,-0.19172945233404234,-0.19363980924485125,0.242396658442401,0.0019103569108089025,-0.08444500689107921,1.0796249678048804,1,3,6
22,0.23606610285493818,0.29364207111321006,0.18901226842678465,0.013102129973740545,-0.2233957686028869,-0.48583820106482456,0.24714023320143644,0.1274395316487948,0.26244243246193766,0.11970070155264165,0.6132777327136194,1.105006272792438,1,3,6
23,0.22465803240767324,0.4535375102232395,-0.9257067690516637,-0.09432104461525138,-0.1500606597517712,-0.3601364323927145,-0.15540299284250508,0.17248253439747727,0.21007577264094326,-0.3278855272399823,0.5326189667901917,1.0108322812167534,1,3,6
